x0,v0,V0,x0_scale,gamma,trajectory_type
0.687548,1.93291,1.3557,0.915397,0.395902,oscillating
-2.41896,-0.737957,0.621862,1.55553,0.269577,oscillating
-0.925039,0.911615,1.31834,1.16696,0.718107,converging
-1.43737,1.57874,1.07801,0.730983,0.362791,converging
-1.57633,0.0530029,1.92622,0.910765,0.497925,converging
-0.849103,0.930842,1.2275,1.03537,0.0716872,oscillating
-1.09551,4.50216,1.27295,1.44526,0.0400067,diverging
1.18598,1.9131,0.947887,0.509473,0.47499,diverging
1.13026,-2.11148,2.21532,1.18537,0.330517,oscillating
-2.13571,3.28659,1.72015,1.04859,0.12052,diverging
-1.48743,-3.47335,1.26559,0.514055,0.424161,diverging
1.24746,3.12918,2.34793,1.1018,0.0759217,diverging
-0.616077,3.71347,1.54229,0.823672,0.283326,diverging
1.19897,-1.6846,1.12477,1.03678,0.215788,oscillating
-0.328703,0.779242,0.848223,0.695901,0.292025,converging
-0.698609,-3.49956,1.77014,0.486142,0.302778,diverging
0.415248,4.02622,1.39142,1.2879,0.387205,diverging
0.880662,2.4372,1.35512,0.91605,0.490951,diverging
0.562579,0.879823,2.55336,0.735979,0.138023,oscillating
0.447405,-1.92373,1.9318,0.96356,0.540886,converging
0.537588,-0.26685,1.81516,1.4138,0.668316,converging
-1.13098,-0.548015,1.33412,0.604135,0.74922,converging
0.70061,-2.1858,0.934992,0.685517,0.507259,oscillating
-0.0588921,1.29388,1.03637,0.875653,0.600942,converging
-0.0618044,-3.35525,1.98736,0.983446,0.223468,diverging
-0.855932,0.889298,1.58196,0.999758,0.155468,oscillating
-0.722915,-0.624754,1.15852,0.83797,0.417401,converging
1.36183,-2.51697,1.00714,1.32066,0.324568,oscillating
0.421069,-0.0121746,1.09011,1.10039,0.156187,converging
2.37479,1.54072,1.50683,0.771092,0.307534,diverging
1.67424,-1.52883,1.49431,1.00215,0.288836,oscillating
-0.601132,-0.789592,1.6132,0.660385,0.0312975,oscillating
1.25402,-0.645234,1.55792,0.757564,0.441121,converging
1.28596,1.48463,1.38527,1.1821,0.617936,oscillating
-0.825069,-7.27115,0.802549,0.607596,0.462944,diverging
-0.210886,-0.802497,1.75352,0.865224,0.293838,converging
0.207943,1.48637,1.29589,0.953367,0.551536,converging
-0.178021,-1.92355,1.73892,0.647794,0.18736,oscillating
0.486701,-2.45437,1.51328,1.14663,0.32167,oscillating
1.55983,1.67959,0.727337,1.24556,0.31357,diverging
-1.20468,-0.864975,2.37662,0.783347,0.227167,oscillating
-0.36341,-1.28012,0.755077,1.21798,0.414271,oscillating
0.988031,-1.43816,1.62659,0.753298,0.400989,converging
0.0297728,0.802396,1.74679,0.402724,0.501597,converging
1.20757,2.35678,1.48033,0.582891,0.0591782,diverging
0.568247,0.48207,1.43033,1.57324,0.667968,converging
0.93842,0.377432,1.56614,0.576811,0.579405,converging
-0.922483,-1.90504,2.0965,1.21167,0.624493,converging
0.136754,-0.565483,1.49924,0.888372,0.287838,converging
-0.887005,3.43615,1.63874,1.08156,0.0574613,diverging
0.471039,0.947441,1.14735,1.08858,0.65105,converging
0.296933,-6.83988,0.982139,1.0788,0.195827,diverging
-0.688438,-1.05873,0.870921,0.767964,0.421768,converging
1.49287,-1.50948,1.90033,1.26841,0.296601,oscillating
-0.48783,0.582614,1.06192,0.92886,0.678143,converging
0.215996,-2.58061,1.85504,0.537075,0.0473678,diverging
-0.188197,4.54104,2.49094,1.27207,0.185818,diverging
-0.270214,0.0342515,1.56612,0.759543,0.395517,converging
0.864139,2.93701,1.17097,1.07156,0.137805,diverging
-0.833511,0.985196,2.49865,0.856542,0.157102,oscillating
2.25292,-2.01493,1.42284,0.425858,0.361416,oscillating
-1.12459,0.170119,2.6092,1.03064,0.273728,converging
0.909912,-1.59087,1.11507,0.914206,0.409549,converging
0.466849,-1.11666,1.3757,0.911948,0.55127,converging
-0.0464469,1.49395,1.68124,0.953123,0.303443,converging
-1.48795,1.76146,1.96184,1.1946,0.396045,converging
-0.244151,2.38779,1.11639,1.59502,0.391094,oscillating
-1.02662,0.399968,1.37957,1.09374,0.582901,converging
0.0691113,-1.98536,1.59019,1.08537,0.144864,oscillating
1.57686,-1.47992,1.44543,0.872781,0.206387,oscillating
0.566247,1.44991,1.99711,0.886539,0.666864,converging
2.0146,-4.68667,0.806679,0.897912,0.464151,diverging
0.360256,1.72505,0.529127,1.21704,0.216907,diverging
-0.626086,-0.758038,1.04569,0.406619,0.219554,oscillating
-0.724337,1.5304,0.78813,0.969355,0.614411,converging
-0.634671,2.83838,1.56494,1.57079,0.426771,oscillating
-0.517387,-0.147662,1.56247,1.1145,0.54858,converging
1.78386,-2.11552,2.17178,0.958169,0.321913,oscillating
0.162413,2.81397,1.21076,0.537988,0.311215,diverging
-0.281415,0.641819,1.68516,0.692129,0.204542,converging
-0.187894,1.61045,1.16975,0.546568,0.349148,converging
-0.160754,1.40006,2.06163,1.29498,0.753472,converging
-0.569401,2.43295,1.58378,1.08415,0.306248,oscillating
0.244426,0.598845,2.14291,1.30276,0.0334963,oscillating
1.58277,-0.647443,1.41698,0.931582,0.195078,oscillating
1.09682,3.35076,1.27771,1.30128,0.556515,diverging
-1.09665,0.683187,2.00513,1.01818,0.17734,oscillating
-1.61794,-0.147721,2.66453,1.18992,0.518218,converging
1.41696,0.786079,0.680428,0.93936,0.215154,oscillating
0.259927,-2.70294,1.77393,0.729276,0.00476525,diverging
0.939795,3.90446,1.32862,0.805243,0.337127,diverging
1.43394,0.305895,0.806238,1.12372,0.336424,converging
-0.559857,-1.53661,1.96471,0.837375,0.46009,converging
-0.269082,2.90082,1.66008,0.816068,0.0546889,diverging
-0.746252,-1.0573,1.9417,1.09846,0.350042,converging
-0.271083,-2.05189,1.53063,1.04052,0.686626,converging
2.01077,0.852455,0.905844,1.13289,0.390228,oscillating
0.331359,-3.04831,1.45651,0.947076,0.247906,diverging
0.691475,-3.68982,1.65238,0.612186,0.057987,diverging
0.41767,5.19517,0.856633,0.835922,0.316662,diverging
1.414,0.0736703,1.36104,1.92904,0.892617,converging
0.425774,-2.53509,1.38211,0.863469,0.221802,diverging
-1.14412,-1.483,1.70095,1.19247,0.0463218,diverging
-0.444666,0.363235,1.46336,0.987895,0.710007,converging
-0.996188,-0.0562114,1.38459,1.07841,0.133878,oscillating
-1.02297,-1.64148,2.36755,1.27251,0.189771,oscillating
-1.44222,-0.821652,2.05079,1.07051,0.282303,oscillating
0.426116,0.637303,1.74012,1.33926,0.192762,converging
-0.181233,1.77309,1.50648,0.774067,0.640616,converging
0.605121,1.60945,0.873301,0.920199,0.288498,oscillating
-0.720547,2.27857,2.30131,1.87724,0.290569,oscillating
-0.902857,3.28618,1.88372,1.33264,0.216492,diverging
0.379554,-3.90513,2.26477,1.06831,0.0223163,diverging
-0.515051,1.76342,1.33411,0.658659,0.218372,oscillating
1.76989,-0.893969,1.64536,1.23614,0.184122,oscillating
-0.352884,-1.31109,2.17233,1.05847,0.353002,converging
-1.7341,2.3099,1.48516,1.11147,0.84417,converging
0.237524,-1.19446,1.60822,1.1513,0.50886,converging
1.62821,1.65472,0.932244,1.11611,0.776388,oscillating
0.120641,0.0396919,0.941252,0.871892,0.260554,converging
-2.41168,-0.767094,1.52532,1.11196,0.307806,oscillating
-0.827228,3.25886,2.0721,1.29647,0.0680317,diverging
-0.972444,-4.16508,1.16936,1.17183,0.0908035,diverging
-0.348179,-2.40546,0.990936,1.08877,0.328879,diverging
-2.31,1.37148,1.44594,1.32623,0.225953,oscillating
-1.1253,-5.15884,1.28266,1.02109,0.485894,diverging
0.870934,-0.594459,1.65531,1.01708,0.0559884,oscillating
1.34998,1.64219,1.33248,0.636779,0.591256,oscillating
1.11598,1.02191,2.18777,1.15053,0.511017,converging
-0.436744,-2.1468,0.972109,0.747882,0.451096,diverging
0.872638,1.69448,0.875451,1.30565,0.494102,oscillating
0.774571,-2.09427,2.21585,1.51442,0.800218,converging
-1.09035,-2.10804,1.4353,0.763141,0.526914,oscillating
0.155441,-0.409138,1.39956,1.27978,0.264092,converging
1.27663,1.33637,1.37696,1.27182,0.46747,oscillating
0.850424,-4.25094,1.73644,0.937935,0.241243,diverging
-0.353019,0.308157,0.986933,1.2338,0.465284,converging
1.12137,-0.104924,1.51369,0.811533,0.487387,converging
0.213975,-1.38706,1.50679,0.855861,0.105993,oscillating
-1.69591,-4.97258,2.44235,0.583057,0.216654,diverging
0.57001,-2.11418,2.11397,1.0919,0.307812,oscillating
-0.791967,1.42082,1.79639,1.51405,0.297795,oscillating
0.495072,3.43166,0.969063,0.880869,0.373299,diverging
-0.114088,0.572912,0.840742,0.662722,0.383518,converging
0.302118,-2.43349,1.75944,1.12639,0.384418,oscillating
-0.261043,-4.18169,1.73327,0.985422,0.567182,diverging
-1.13042,2.10442,1.67523,0.948477,0.188288,diverging
0.591345,-2.82635,1.51847,1.19627,0.10777,diverging
-1.06311,0.522227,1.12534,0.772636,0.324169,converging
-0.777784,1.96357,2.29579,1.2382,0.703441,converging
0.796599,-0.496961,1.49033,0.504626,0.504066,converging
1.06857,-0.380397,1.56214,1.22671,0.383935,converging
-0.0457432,2.68885,0.858721,0.638592,0.42191,diverging
1.17228,-1.24072,1.96772,0.564989,0.216426,oscillating
-0.444565,1.19897,1.07232,1.59286,0.423559,converging
0.586165,-2.38074,1.07308,1.42874,0.2583,diverging
1.87498,1.42699,1.45376,1.27919,0.203994,diverging
-0.146273,-0.310074,2.40683,1.27379,0.507346,converging
-1.83342,-1.72314,2.01611,0.780789,0.301404,diverging
-0.0366979,1.0478,1.40089,1.06175,0.663144,converging
-0.807226,1.55858,1.45187,0.602152,0.638323,converging
-2.53567,-0.160773,1.37051,0.699575,0.283499,oscillating
0.0892507,-2.6838,0.980038,0.864505,0.240643,diverging
1.3372,-2.34472,1.65202,0.65715,0.274454,diverging
1.66303,2.63924,1.41863,0.892312,0.301471,diverging
1.43897,2.23736,1.75572,1.06404,0.0828995,diverging
-0.224216,-1.00578,2.00688,1.32802,0.636741,converging
-1.06729,-1.31415,1.55513,0.991913,0.590487,converging
0.144492,2.66337,1.3878,0.608664,0.410732,diverging
0.171403,1.90394,1.93107,1.04811,0.0778449,oscillating
-1.27805,3.45625,1.84555,1.01588,0.426498,diverging
0.305466,-5.61575,1.39695,0.792657,0.370405,diverging
0.569446,2.36613,1.11025,0.878923,0.402274,diverging
0.425866,-3.14757,2.0195,1.44466,0.131388,diverging
1.29351,-0.279241,1.26153,0.844734,0.435471,converging
-0.839349,2.502,1.67348,0.871706,0.391883,oscillating
-1.08878,-0.20729,1.54457,1.2452,0.501096,converging
-1.04348,0.542492,1.46018,0.765191,0.546699,converging
0.92665,1.39967,1.12926,1.32574,0.191274,oscillating
-0.440594,3.75176,0.99691,1.03807,0.38044,diverging
-2.66014,-0.941039,1.48835,0.964536,0.439789,oscillating
-0.382845,-0.303992,1.48552,0.815868,0.0916347,converging
-0.12049,-2.2728,1.74423,0.698803,0.625103,converging
1.29368,0.541947,1.68169,1.23181,0.233688,oscillating
0.902582,2.19412,1.18668,1.42978,0.0786779,diverging
1.42676,-1.92382,1.1256,1.2615,0.231785,oscillating
0.415136,1.00769,1.68229,1.42961,0.292586,converging
-1.16029,-2.8593,1.39952,1.26834,0.352824,diverging
-0.658138,-0.172028,1.09049,1.16046,0.259888,converging
2.62517,1.05767,1.20528,1.40978,0.523267,oscillating
-1.12546,-1.85483,0.780564,1.49292,0.387428,oscillating
0.706723,0.712483,1.67621,1.00146,0.13239,oscillating
0.197818,0.951381,1.8919,1.18045,0.547715,converging
-0.446592,2.2712,1.22335,0.872642,0.763829,converging
0.66459,-0.943792,1.73969,0.673522,0.650227,converging
-0.5796,-2.33573,0.711412,0.756222,0.0975849,diverging
0.436286,-2.17584,0.829024,1.37954,0.178466,diverging
1.32939,-2.99062,1.42852,1.00823,0.243998,diverging
-0.813907,-0.947981,1.47981,0.636399,0.00394572,diverging
-0.221908,-4.36529,1.80595,0.923467,0.254867,diverging
1.57552,0.968573,0.906772,0.607795,0.0400067,diverging
0.1061,-4.35388,1.02409,0.707919,0.523409,diverging
-0.000266679,-1.94153,1.76224,0.942912,0.30563,oscillating
-0.227955,-3.48559,1.28278,0.9807,0.0752283,diverging
-0.487127,-0.426661,1.56094,1.06895,0.349513,converging
0.72242,0.776215,2.12642,1.81764,0.840547,converging
0.42927,2.30273,0.932347,0.819008,0.229041,diverging
1.49554,-1.2878,1.029,1.00979,0.342347,oscillating
1.62928,6.18268,1.87524,0.966775,0.340348,diverging
2.53496,-1.62785,2.45365,0.777305,0.187393,oscillating
-0.783981,-3.52239,2.04344,1.60884,0.0468361,diverging
-0.305431,-2.99446,0.733771,0.76347,0.78019,oscillating
0.642045,0.622254,2.54222,1.12646,0.180077,oscillating
-0.182722,2.4265,2.14133,1.15975,0.432335,converging
-0.985472,-2.87773,1.20385,0.934061,0.653589,diverging
-0.147289,-0.0313701,0.934585,1.31279,0.587074,converging
1.7761,-0.151383,1.35104,1.60699,0.0763452,oscillating
1.03361,-0.616226,1.70155,1.03558,0.311566,converging
0.74765,3.21612,1.96559,1.46788,0.0999357,diverging
0.0734622,1.39119,1.72437,0.531224,0.249454,converging
0.0276043,-3.4498,1.70853,1.24498,0.108432,diverging
-1.60764,2.01653,1.823,1.37341,0.492568,converging
0.233778,1.02239,1.47777,0.904321,0.568757,converging
0.248162,2.37304,2.11391,0.8499,0.147709,diverging
-0.143422,1.1145,1.74264,1.11243,0.00860107,oscillating
-0.368346,-1.73024,1.24863,1.07647,0.0955294,diverging
0.500516,-1.89423,2.07454,1.37061,0.065203,oscillating
1.00323,-0.0852263,1.3514,1.20051,0.353602,converging
-0.617276,-0.35255,1.82966,0.488907,0.249033,converging
-0.776845,-0.180171,1.08358,1.4203,0.753264,converging
0.581135,-2.63821,1.69049,1.00177,0.208505,diverging
-0.0577783,0.947079,1.12454,1.20737,0.0895148,oscillating
0.691523,-3.14137,1.53962,0.997721,0.131997,diverging
-0.81816,4.31029,1.16275,0.781207,0.263779,diverging
-0.660131,1.79448,0.719735,0.816821,0.210365,diverging
-1.00162,1.80452,1.47674,1.56792,0.602451,converging
-2.21377,0.137716,2.28538,0.925078,0.466066,converging
-1.98491,3.12242,1.43126,1.06771,0.324294,diverging
0.664718,1.89777,1.23037,1.21963,0.469811,oscillating
-0.910729,0.272452,1.11192,0.645848,0.158499,oscillating
-0.895882,1.18347,1.17628,1.01228,0.665443,converging
0.797283,-2.97427,1.69264,0.899743,0.158288,diverging
1.19891,0.592441,1.98505,0.743772,0.277577,oscillating
1.29342,-0.76508,1.19364,1.11746,0.941066,converging
0.314452,-0.838461,1.50002,0.965571,0.0527139,oscillating
-1.00553,0.606836,1.78548,0.987165,0.432622,converging
-0.166077,-1.27301,0.871379,0.723011,0.496341,converging
-0.776495,1.88735,1.05593,0.684288,0.472923,oscillating
-1.49418,-6.03292,0.855816,0.646602,0.0497635,diverging
-0.56026,-2.57081,1.502,0.992754,0.53322,oscillating
1.6375,1.78619,2.35166,0.728975,0.712727,oscillating
0.545943,-0.213654,1.66344,1.3909,0.45609,converging
-0.842653,-0.307773,1.77189,0.780915,0.229805,converging
0.142447,3.7004,2.65649,0.943122,0.506292,diverging
1.76108,1.45321,1.86399,0.753979,0.713036,oscillating
-0.0382745,2.93444,0.888665,0.984156,0.77145,oscillating
0.861352,-3.84589,1.94155,1.21563,0.11541,diverging
-0.112791,1.60553,0.848007,0.952427,0.375339,oscillating
-2.17034,1.501,1.37342,1.13602,0.608657,converging
-0.665257,1.50406,1.27659,1.32123,0.220402,oscillating
0.196846,-1.67998,1.86245,1.1527,0.183947,oscillating
-0.12884,-0.148971,1.50545,1.16992,0.201525,converging
0.300114,4.50659,1.25377,0.713008,0.41373,diverging
0.374878,-2.44009,1.48876,0.867886,0.53528,converging
-0.193851,0.504826,1.42356,0.72325,0.277666,converging
-0.282917,0.716309,1.00547,1.24496,0.221189,converging
0.571142,0.479774,1.74558,1.11231,0.0689262,oscillating
0.27822,-1.03354,1.5294,1.22991,0.110692,oscillating
0.889358,-1.86677,1.96994,1.07938,0.168142,oscillating
-0.650564,-0.38057,1.33846,0.520257,0.47014,converging
1.26898,-3.94332,1.94182,0.58687,0.0948728,diverging
-0.981188,1.54437,2.40108,1.07959,0.724332,converging
-0.477043,-1.00487,1.90718,0.875518,0.696477,converging
-1.19789,-0.0496941,2.33272,0.945814,0.357367,converging
0.0352088,0.0693246,1.13446,1.00972,0.576192,converging
1.22118,1.17162,1.62828,1.17171,0.113449,oscillating
-0.61988,1.14007,0.689808,1.16589,0.1297,oscillating
-0.228638,0.705265,1.73004,1.36367,0.259574,converging
-0.887948,-1.26821,1.42344,0.746671,0.689549,converging
-1.16065,0.308585,1.58396,1.16687,0.219721,oscillating
1.05088,2.84423,2.44376,1.02728,0.143921,diverging
1.58153,-0.273706,1.28341,0.76587,0.22797,oscillating
0.461288,-0.683291,2.23609,0.980873,0.10995,oscillating
-0.360501,-0.05353,0.728664,0.965157,0.177132,converging
-0.425206,1.71152,1.70586,0.954589,0.384667,converging
0.93585,2.36341,1.28785,1.25101,0.159535,diverging
-1.3228,-0.515633,1.13538,0.67076,0.871656,converging
0.152941,4.44631,0.666412,1.24285,0.160714,diverging
-1.80441,-2.2264,1.65541,0.995847,0.217577,diverging
-1.00846,-1.94237,1.1262,1.46496,0.443666,oscillating
0.127502,1.56304,0.811151,1.51683,0.359269,oscillating
-0.0209985,-0.807818,2.42434,0.967359,0.14284,converging
-0.889734,-3.41334,0.889913,0.893592,0.191403,diverging
0.350696,-1.19222,0.784037,1.53722,0.121533,oscillating
-0.793524,3.40072,2.48501,0.973611,0.783107,converging
-0.748433,-1.21523,1.75097,1.02672,0.157382,oscillating
-1.06336,0.298016,1.80347,1.43746,0.425873,converging
-1.50709,2.8523,1.08453,1.01908,0.17706,diverging
-1.72533,-2.40581,1.9429,0.896565,0.0795446,diverging
0.000904993,2.25402,1.22642,0.727066,0.709885,converging
0.825879,-2.50649,1.53477,0.804955,0.580918,converging
-0.758311,-3.08296,0.881996,0.834251,0.147324,diverging
